	Target	Regulator
406	PLAUR	P17535_S100_1_1_NO_Multiple
407	ELF4	P06748_S70_1_1_YES_Single
408	MYC	Q9HCK8_S2046_1_1_NO_Single
409	WT1	P08651_S323_1_1_YES_Single
410	NQO2	P17535_S100_1_1_NO_Multiple
411	NOX1	P42224_S727_1_1_YES_Single
412	FCGRT	P42224_S727_1_1_YES_Single
413	GLI2	P35222_S191_1_1_YES_Single
414	ALDOA	P08651_S323_1_1_YES_Single
415	SCD	P08651_S323_1_1_YES_Single
416	UROS	P08651_S323_1_1_YES_Single
417	HSPA5	Q13547_S393_1_1_YES_Single
418	PGK1	P08651_S323_1_1_YES_Single
419	CD40	P42224_S727_1_1_YES_Single
420	NME1	P08651_S323_1_1_YES_Single
421	STEAP2	O75376_S1472_1_1_NO_Single
422	STEAP2	O75376_S2120_1_1_NO_Single
423	HOXC8	Q12830_S216_1_1_NO_Single
424	TAF12	P85037_S445_1_1_NO_Single
425	MEF2A	Q8WUI4_S155_1_1_NO_Single
426	FASN	P67809_S165_1_1_NO_Single
427	RUNX2	P17535_S100_1_1_NO_Multiple
428	CCR1	P42224_S727_1_1_YES_Single
429	SP1	Q13547_S393_1_1_YES_Single
430	CYP3A4	Q13547_S393_1_1_YES_Single
431	CDKN1A	Q14938_S265_1_1_NO_Single
432	PPARD	P35222_S191_1_1_YES_Single
433	MAML1	Q8WUI4_S155_1_1_NO_Single
434	CCR4	P17535_S100_1_1_NO_Multiple
435	CHST3	Q9UGL1_S1456_1_1_NO_Single
436	MYC	P08651_S323_1_1_YES_Single
437	FASN	P42224_S727_1_1_YES_Single
438	CDH1	Q13547_S393_1_1_YES_Single
439	MMP2	P67809_S165_1_1_NO_Single
440	ERBB2	P67809_S165_1_1_NO_Single
441	HECA	Q8WUI4_S155_1_1_NO_Single
442	NCOA2	P35222_S191_1_1_YES_Single
443	JAK3	P42224_S727_1_1_YES_Single
444	IRS2	P08651_S323_1_1_YES_Single
445	UPP1	P42224_S727_1_1_YES_Single
446	ERBB3	P67809_S165_1_1_NO_Single
447	ADRA1B	Q14938_S265_1_1_NO_Single
448	SLC34A2	P08651_S323_1_1_YES_Single
449	CCND1	P06748_S70_1_1_YES_Single
450	ARID4A	P08651_S323_1_1_YES_Single
451	HSP90AA1	P42224_S727_1_1_YES_Single
452	SOX4	P17535_S100_1_1_NO_Multiple
453	PALD1	Q9UGL1_S1456_1_1_NO_Single
454	CCNE2	Q9HCK8_S2046_1_1_NO_Single
455	CDKN1B	P39880_S1496_1_1_NO_Single
456	SREBF1	O75376_S1472_1_1_NO_Single
457	SREBF1	O75376_S2120_1_1_NO_Single
458	CDH1	P67809_S165_1_1_NO_Single
459	HSPA5	P78347_S103_1_1_YES_Single
460	HSPA5	P78347_S674_1_1_NO_Single
461	SCAP	O75376_S1472_1_1_NO_Single
462	SCAP	O75376_S2120_1_1_NO_Single
463	IL18BP	P42224_S727_1_1_YES_Single
464	CCNB1	P67809_S165_1_1_NO_Single
465	HMOX1	P08651_S323_1_1_YES_Single
466	CDC14A	Q9UGL1_S1456_1_1_NO_Single
467	PCK2	Q12857_S280_1_1_YES_Single
468	NFKB1	Q13547_S393_1_1_YES_Single
469	GLS	P42224_S727_1_1_YES_Single
470	PTGS2	P17535_S100_1_1_NO_Multiple
471	PRF1	P42224_S727_1_1_YES_Single
472	STARD7	P35222_S191_1_1_YES_Single
473	MMP14	P35222_S191_1_1_YES_Single
474	HGF	P08651_S323_1_1_YES_Single
475	CDKN1A	P17535_S100_1_1_NO_Multiple
476	TP53	P08651_S323_1_1_YES_Single
477	TOP2A	P67809_S165_1_1_NO_Single
478	MYC	P39880_S1496_1_1_NO_Single
479	PRKCD	O75376_S1472_1_1_NO_Single
480	PRKCD	O75376_S2120_1_1_NO_Single
481	RBL2	Q15742_S171_1_1_NO_Single
482	SORD	O75376_S1472_1_1_NO_Single
483	SORD	O75376_S2120_1_1_NO_Single
484	REV3L	P42224_S727_1_1_YES_Single
485	NR3C1	P08651_S323_1_1_YES_Single
486	JUN	P42224_S727_1_1_YES_Single
487	TINAGL1	P08651_S323_1_1_YES_Single
488	MNAT1	P67809_S165_1_1_NO_Single
489	RB1	Q8TDY2_S222_1_1_NO_Single
490	SMAD4	Q12830_S216_1_1_NO_Single
491	CDKN1A	P51532_S1382_1_1_NO_Single
492	HNRNPA1	P08651_S323_1_1_YES_Single
493	IL6ST	P42224_S727_1_1_YES_Single
494	PSMB9	P42224_S727_1_1_YES_Single
495	CDKN1A	P29590_S36_1_1_NO_Single
496	CDKN1A	P29590_T867_1_1_NO_Single
497	CDKN1A	P29590_S505_1_1_NO_Single
498	CDKN1A	P29590_S403_1_1_NO_Single
499	FASN	O75376_S1472_1_1_NO_Single
500	FASN	O75376_S2120_1_1_NO_Single
501	FXYD3	O75376_S1472_1_1_NO_Single
502	FXYD3	O75376_S2120_1_1_NO_Single
503	IL5	P17535_S100_1_1_NO_Multiple
504	GTF3C2	P08651_S323_1_1_YES_Single
505	LAMB1	P05455_S366_1_1_NO_Single
506	SFRP1	Q13547_S393_1_1_YES_Single
507	MCM2	P85037_S445_1_1_NO_Single
508	MT1X	O75376_S1472_1_1_NO_Single
509	MT1X	O75376_S2120_1_1_NO_Single
510	TAP1	P42224_S727_1_1_YES_Single
511	EGLN3	P42224_S727_1_1_YES_Single
512	SPP1	P17535_S100_1_1_NO_Multiple
513	FOSL1	P17535_S100_1_1_NO_Multiple
514	CYBB	P39880_S1496_1_1_NO_Single
515	DNAJB12	Q9UGL1_S1456_1_1_NO_Single
516	TNFSF10	P29590_S36_1_1_NO_Single
517	TNFSF10	P29590_T867_1_1_NO_Single
518	TNFSF10	P29590_S505_1_1_NO_Single
519	TNFSF10	P29590_S403_1_1_NO_Single
520	RELA	O75376_S1472_1_1_NO_Single
521	RELA	O75376_S2120_1_1_NO_Single
522	ID1	Q13263_S473_1_1_YES_Single
523	CCR5	P42224_S727_1_1_YES_Single
524	SUMO1	P67809_S165_1_1_NO_Single
525	MYC	P25054_S2449_1_1_NO_Single
526	BCAR1	Q15742_S171_1_1_NO_Single
527	ALDOA	Q12857_S280_1_1_YES_Single
528	CX3CL1	P42224_S727_1_1_YES_Single
529	MYC	P42224_S727_1_1_YES_Single
530	CCN2	Q9UGL1_S1456_1_1_NO_Single
531	F3	P17535_S100_1_1_NO_Multiple
532	CSNK2A2	P08651_S323_1_1_YES_Single
533	TYMS	Q9HCK8_S2046_1_1_NO_Single
534	NKX3-1	O75376_S1472_1_1_NO_Single
535	NKX3-1	O75376_S2120_1_1_NO_Single
536	A2M	P42224_S727_1_1_YES_Single
537	RUNX2	P08651_S323_1_1_YES_Single
538	HSD11B2	P08651_S323_1_1_YES_Single
539	HRAS	P08651_S323_1_1_YES_Single
540	TP53	Q13547_S393_1_1_YES_Single
541	FOS	P51532_S1382_1_1_NO_Single
542	HIPK2	P29590_S36_1_1_NO_Single
543	HIPK2	P29590_T867_1_1_NO_Single
544	HIPK2	P29590_S505_1_1_NO_Single
545	HIPK2	P29590_S403_1_1_NO_Single
546	AR	Q9Y618_S1487_1_1_NO_Single
547	AR	Q9Y618_S1982_1_1_NO_Single
548	AR	Q9Y618_S1259_1_1_NO_Single
549	BIRC5	P35222_S191_1_1_YES_Single
550	FZR1	P51858_S165_1_1_NO_Single
551	PLSCR1	P42224_S727_1_1_YES_Single
552	CD22	P42224_S727_1_1_YES_Single
553	POLD2	P08651_S323_1_1_YES_Single
554	FAS	P51858_S165_1_1_NO_Single
555	GLCE	P35222_S191_1_1_YES_Single
556	CSTA	P17535_S100_1_1_NO_Multiple
557	ZNF274	Q13263_S473_1_1_YES_Single
